user_id,first_name,last_name,email,gender,age,principal_sport,other_sports_of_interest,principal_sport_frequency
1,Alic,Kaemena,akaemena0@4shared.com,Male,18,Senderismo,Handball,Yearly
2,Dorrie,Fountian,dfountian1@craigslist.org,Female,51,Running,Senderismo,Weekly
3,Spenser,Fernandes,sfernandes2@devhub.com,Male,31,Natación,Tennis,Once
4,Andris,Moakson,amoakson3@rediff.com,Male,22,Tennis,Volley,Weekly
5,Elsey,Rathbone,erathbone4@bloglovin.com,Female,23,Natación,Tennis,Seldom
6,Vivianna,Naerup,vnaerup5@sourceforge.net,Female,46,Rafting,Fútbol,Monthly
7,Jobina,Toller,jtoller6@cbslocal.com,Female,56,Ciclismo,Tennis,Never
8,Debbie,Ambrodi,dambrodi7@seattletimes.com,Female,51,Trecking,Rafting,Often
9,Kathryn,Lissenden,klissenden8@quantcast.com,Female,53,Tennis,Running,Monthly
10,Jeannie,Prettejohns,jprettejohns9@theguardian.com,Non-binary,24,Trecking,Running,Once
11,Nike,Clelle,nclellea@csmonitor.com,Genderfluid,33,Natación,Fútbol,Monthly
12,Shoshana,Tenaunt,stenauntb@mozilla.com,Female,49,Running,Senderismo,Monthly
13,Em,Albrook,ealbrookc@netscape.com,Female,29,Running,Ciclismo,Seldom
14,Judah,Fearon,jfearond@phpbb.com,Male,36,Handball,Fútbol,Often
15,Jock,Mothersdale,jmothersdalee@wikimedia.org,Male,58,Handball,Volley,Weekly
16,Kristofor,Holstein,kholsteinf@nature.com,Male,51,Natación,Fútbol,Once
17,Edwin,Battams,ebattamsg@paginegialle.it,Male,38,Fútbol,Handball,Often
18,Stefano,Truman,strumanh@xinhuanet.com,Male,24,Natación,Volley,Once
19,Mohammed,Kincaid,mkincaidi@columbia.edu,Male,69,Volley,Running,Weekly
20,Tova,Chazier,tchazierj@nasa.gov,Female,65,Natación,Fútbol,Once
21,Clarabelle,Pagan,cpagank@constantcontact.com,Female,27,Senderismo,Fútbol,Often
22,Roseanna,Craxford,rcraxfordl@irs.gov,Bigender,21,Ciclismo,Trecking,Weekly
23,Cassondra,Josofovitz,cjosofovitzm@geocities.jp,Female,32,Trecking,Natación,Monthly
24,Nataline,Guillem,nguillemn@opera.com,Female,30,Natación,Handball,Often
25,Waverley,Callendar,wcallendaro@elpais.com,Male,43,Volley,Rafting,Never
26,Edee,MacIllrick,emacillrickp@pbs.org,Female,53,Rafting,Natación,Seldom
27,Vachel,Rolfini,vrolfiniq@amazon.de,Male,22,Tennis,Fútbol,Never
28,Cairistiona,Roskelly,croskellyr@booking.com,Polygender,57,Senderismo,Fútbol,Once
29,Roi,Badgers,rbadgerss@nytimes.com,Male,70,Ciclismo,Tennis,Once
30,Rebeca,Rossborough,rrossborought@freewebs.com,Female,54,Senderismo,Running,Seldom
31,Mattheus,Barnardo,mbarnardou@php.net,Male,26,Tennis,Volley,Weekly
32,Garvey,Housegoe,ghousegoev@nba.com,Male,60,Volley,Running,Weekly
